mu,sigma,pi
-0.3222490678285913,0.03156444696903024,1
-1.7014992864910254,0.27275801365243396,0.9999999921121921
-0.028908068256124207,0.1342930940234441,0.18473935296847596
1.8695952428080362,0.15031182984143435,1
0.003751189812756331,0.1324287349019377,0.1792687780455018
-1.2489930876424362,0.18639223262221158,0.9999999994217612
0.026498277509576548,0.0772079285271157,0.11895559971351241
-1.4676605616751182,0.13680860617864052,1
